name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Sauska, Tokaji Furmint",Sauska is Társa Kft.,2019,13.0,750.0,119.0,Hungary,Tokaj,,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with salads.","Fruity, very fresh taste with hints of yellow apples, mango, honey, minerals, peach and citrus.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/sauska-205501,https://product-cdn.systembolaget.se/productimages/24513134/24513134,Furmint
"Ricossa, Vistamonte Barbera Organic",Cuvage Srl,2019,13.5,750.0,99.0,Italy,Piedmont,,Red wine,Fruity & Tasty,"Served at about 16 ° C for light meat dishes, or for vegetarian dishes.","Fruity, youthful taste with hints of cask, cherry, forest raspberry, fresh herbs and violet.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/ricossa-201301,https://product-cdn.systembolaget.se/productimages/24474926/24474926,Barbera
"Urlar, Pinot Noir",Urlar Estate,2018,13.0,750.0,149.0,New Zealand,Wairarapa,,Red wine,Soft & Berry,Served at about 16 ° C with dishes of light meat or fried fish.,"Berry, nuanced taste with hints of cask, raspberry, cherry, fresh herbs, blood orange, spices and chocolate.",0.0%,0.0%,83.33333333333334%,41.6666666666666767%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/urlar-213801,https://product-cdn.systembolaget.se/productimages/24463392/24463392,Pinot noir
"Perlage, Terra Viva Bio",Perlage,2019,12.0,750.0,95.0,Italy,Tre Venice,Delle Venezie,White wine,Fresh & Fruity,"Served at 8-10 ° C with vegetarian dishes, or with seafood dishes.","Fruity, very fresh taste with hints of pear, pineapple, peach, fresh herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/perlage-630501,https://product-cdn.systembolaget.se/productimages/24500613/24500613,Pinot grigio --- Sauvignon blanc
"Demorgenzon Dmz, Chardonnay",Demorgenzon,2019,14.0,750.0,129.0,South Africa,Western Cape,Coastal Region,White wine,Full-bodied & Tasty,Served at 10-12 ° C with fish or light meat dishes.,"Fruity taste with barrel character, hints of mango, yellow apples, marzipan, herbs and citrus.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/demorgenzon-dmz-274201,https://product-cdn.systembolaget.se/productimages/24500941/24500941,Chardonnay
"Chacabuco, Natural Sweet Chenin Blanc",Bodega Los Haroldos,2020,7.5,750.0,89.0,Argentina,Cuyo,Mendoza,White wine,Sweet,Served at 8.10 ° C with fruit and berry desserts.,"Fruity, sweet taste with hints of pear, white peach, herbs and lime flowers.",0.0%,75.0%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/chacabuco-211801,https://product-cdn.systembolaget.se/productimages/24502483/24502483,Chenin blanc
"Casa Ferreirinha, Vinha Grande",Sogrape Vinhos,2018,14.0,750.0,139.0,Portugal,Douro,,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with barrel character, hints of black currants, plums, cocoa, spices, violets and herbs.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/casa-ferreirinha-275201,https://product-cdn.systembolaget.se/productimages/24517348/24517348,Touriga franca --- Tinta roriz --- Touriga nacional --- Tinta barroca
"Ring bolt, Cabernet Sauvignon",Ring bolt,2018,14.0,750.0,149.0,Australia,Western Australia,South West Australia,Red wine,Fruity & Tasty,Served at about 18 ° C with grilled dishes of lamb or beef.,"Fruity, balanced taste with barrel character, hints of black currants, plums, dark chocolate, cedar, vanilla and herbs.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/ringbolt-627801,https://product-cdn.systembolaget.se/productimages/24494904/24494904,Cabernet sauvignon
Arnauton Castle,Plain Point Castle,2016,14.5,750.0,148.0,France,Bordeaux,Fronsac,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with hints of plums, cocoa, black currants, cedar, currants, spices and vanilla.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/château-arnauton-312201,https://product-cdn.systembolaget.se/productimages/24519004/24519004,Merlot --- Cabernet franc --- Cabernet sauvignon --- Carmenère --- Malbec
"Christine-Marié, Blanc de Blanc Brut",Niel Joubert Wines,2016,11.5,750.0,159.0,South Africa,Western Cape,Coastal Region,Sparkling wine,Dry white,"Served at 8-10 ° C as a companion drink or with dishes of poultry, fish or seafood.","Nuanced, developed, very fresh taste with hints of yellow apples, honey, biscuits, nuts and orange.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/christine-marié-770701,https://product-cdn.systembolaget.se/productimages/24501050/24501050,Chardonnay
Château de la Liquière Faugères,Château de la Liquière family Vidal Dumoulin,2019,14.5,750.0,169.0,France,Languedoc-Roussillon,Coteaux du Languedoc,Red wine,Spicy & Musty,Served at about 18 ° C with dark meat dishes.,"Spicy, tasty wine with hints of dark cherries, violets, peppers, bay leaves, forest raspberries and licorice root.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/château-de-la-liquière-faugères-353101,https://product-cdn.systembolaget.se/productimages/24518415/24518415,Grenache --- Syrah --- Carignan
Bocanegra Monastrell,Bodegas Francisco Gomez,2019,13.0,750.0,85.0,Spain,Valencia,Alicante,Red wine,Soft & Berry,"Served at about 16 ° C for dishes of light meat, preferably cold-cut or for vegetarian dishes.","Berry taste with hints of forest raspberries, fresh herbs, cherries, licorice and blood orange.",0.0%,0.0%,83.33333333333334%,50.0%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/bocanegra-monastrell-279801,https://product-cdn.systembolaget.se/productimages/24495792/24495792,Monastrell
"Champagne de Saint-Gall, Blanc de Blancs Grand Cru Extra Brut",Union Champagne,,12.5,750.0,500.0,France,Champagne,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif or with light meat dishes, or with tasty fish dishes.","Complex, developed, very fresh taste with hints of nougat, toast, apples, peach, white chocolate and orange.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/champagne-de-saint-gall-794801,https://product-cdn.systembolaget.se/productimages/24515358/24515358,Chardonnay
The Dalmatian Dog,Black Island Winery DOO,2018,14.5,750.0,120.0,Croatia,Primorska,Sjeverna Dalmacija,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy, fruity taste with barrel character, hints of cherries, black pepper, raspberries, thyme, blueberries and licorice.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/the-dalmatian-dog-209701,https://product-cdn.systembolaget.se/productimages/24494094/24494094,Babic
"Spindler, Pinot Noir",Weingut Heinrich Spindler,2018,13.0,750.0,149.0,Germany,Palatinate,,Red wine,Spicy & Musty,"Served at about 16 ° C with fried fish dishes, or light meat dishes.","Spicy, nuanced taste with barrel character, hints of cherries, minerals, strawberries, sandalwood, lingonberries and chocolate.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/spindler-534101,https://product-cdn.systembolaget.se/productimages/24496452/24496452,Pinot noir
Marquis of Beys Red,Domaine des Tourelles,2016,14.0,750.0,199.0,Lebanon,Bekaa,,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Nuanced, slightly developed, fruity taste with barrel character, hints of plums, coffee, blackberries, black currants, tobacco, cocoa, pepper and vanilla.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/marquis-de-beys-red-2232501,https://product-cdn.systembolaget.se/productimages/24516816/24516816,Cabernet Sauvignon --- Syrah
"Mariposa, Reserva",Quinta da Mariposa,2018,13.5,750.0,159.0,Portugal,Dão,,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Fruity, balanced taste with hints of cask, plum, blackberry, violet, forest raspberry, bay leaf, black pepper and herbs.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/mariposa-200201,https://product-cdn.systembolaget.se/productimages/24519764/24519764,National Tour
"Oxford Landing, Chardonnay",Oxford Landing Estates,2020,12.5,750.0,99.0,Australia,South Australia,Lower Murray,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with salads.","Very fruity taste with hints of cask, pear, honeydew melon, peach, herbs and citrus.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/oxford-landing-572001,https://product-cdn.systembolaget.se/productimages/24500430/24500430,Chardonnay
"Portacomaro, Ruchè di Castagnole Monferrato",Producers of Govone,2018,14.5,750.0,149.0,Italy,Piedmont,Ruchè di Castagnole Monferrato,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Nuanced, fruity, slightly spicy taste with hints of cherries, violet, blackberries, pepper, smoky mineral and ripe strawberries.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/portacomaro-252701,https://product-cdn.systembolaget.se/productimages/24474151/24474151,Ruché
"Origen Gran Reserva, Synergy Blend",Viña Chocalán,2018,14.5,750.0,159.0,Chile,Valle Central,Maipo,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with barrel character, hints of black currants, cedar, spices, plums, thyme, coffee and chocolate.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/origen-gran-reserva-234401,https://product-cdn.systembolaget.se/productimages/24500892/24500892,Cabernet sauvignon --- Merlot --- Carmenère --- Cabernet franc --- Malbec
Amazon Palmer,Palmer & Co,,12.0,750.0,1099.0,France,Champagne,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, with seafood dishes, or with light light meat dishes.","Complex, slightly developed, very fresh taste with hints of yellow apples, toast, honey, nuts, white chocolate, minerals and grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/amazone-de-palmer-794701,https://product-cdn.systembolaget.se/productimages/24515161/24515161,Chardonnay --- Pinot noir
"Fontanafredda Alta Langa, Limited Edition",Fontanafredda,2016,12.5,750.0,169.0,Italy,Piedmont,Alta Langa,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, very fresh taste with hints of apples, nuts, yellow pears, biscuits and citrus peel.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/fontanafredda-alta-langa-794901,https://product-cdn.systembolaget.se/productimages/24516383/24516383,Pinot nero --- Chardonnay
"Te Mata Cape Crest, Sauvignon Blanc",Te Mata Estate,2019,13.5,750.0,199.0,New Zealand,Hawke's Bay,,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish and chicken dishes, or with vegetarian dishes.","Fruity, slightly aromatic, very fresh taste with hints of cask, passion fruit, blackcurrant leaves, nectarine, minerals, spices and lime.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/te-mata-cape-crest-657001,https://product-cdn.systembolaget.se/productimages/24500886/24500886,White Sauvignon --- Semillon --- Gray Sauvignon
"Altura, Semillon",Bodega Norton,2019,14.0,750.0,149.0,Argentina,Cuyo,Mendoza,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or light meat dishes, or with tasty vegetarian dishes.","Nuanced, aromatic, very fresh taste with hints of yellow apples, beeswax, smoky mineral, peach, pear, gooseberry and citrus.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/altura-249201,https://product-cdn.systembolaget.se/productimages/24500918/24500918,Sémillon
"Gamlitz, Sauvignon Blanc",Weingut Lackner-Tinnacher,2019,12.5,750.0,149.0,Austria,Styria,South Styria,White wine,Fresh & Fruity,"Served at 8-10 ° C as an aperitif or with fish or seafood dishes, or with salads, or with sour goat cheeses.","Fruity, aromatic, very fresh taste with hints of gooseberries, blackcurrant leaves, peach, minerals, pears, citrus and herbs.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/gamlitz-468101,https://product-cdn.systembolaget.se/productimages/24518949/24518949,White Sauvignon
"Pesquera Millenium, Gran Reserva",Fernández Rivera,2009,14.5,750.0,349.0,Spain,Castile-Leon,Ribera del Duero,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Complex, slightly developed, spicy taste with barrel character, hints of currants, dark chocolate, plums, cedar, tobacco, cherries and nuts.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/pesquera-millenium-281201,https://product-cdn.systembolaget.se/productimages/24518971/24518971,Tempranillo
"Emblem, Cabernet Sauvignon",Michael Mondavi Family Estate,2016,15.0,750.0,369.0,USA,California,North Coast,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Complex, fruity taste with a clear barrel character, hints of black currants, cocoa, plums, spices, figs, tobacco, coffee and vanilla.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/emblem-269401,https://product-cdn.systembolaget.se/productimages/24494041/24494041,Cabernet sauvignon --- Petit verdot --- Petite sirah
"Paolo Scavino, Barolo Bricco Ambrogio",Paolo Scavino,2014,14.0,750.0,649.0,Italy,Piedmont,Barolo,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Complex, spicy taste with barrel character, hints of rosehips, roses, cinnamon, peach, black tea, nougat and ripe strawberries.",0.0%,0.0%,91.6666666666666666%,75.0%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/paolo-scavino-244001,https://product-cdn.systembolaget.se/productimages/24516384/24516384,Nebbiolo
"Mateus, Rosé",Sogrape,,11.0,750.0,69.0,Portugal,,,Rose wine,Fruity & Tasty,"Served at about 8 ° C as a social drink, or for salads.","Fruity, pearly taste with hints of jelly raspberry, peach and blood orange.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/mateus-257101,https://product-cdn.systembolaget.se/productimages/1865/1865,
Red Port,Andresen AS,,20.0,750.0,115.0,Portugal,Douro,Postage,Aperitif & Dessert,Port,Served at 16-18 ° C for desserts or aged cheeses.,"Fruity, sweet taste with hints of raisins, nutmeg and figs.",0.0%,75.0%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/red-port-808701,https://product-cdn.systembolaget.se/productimages/11619/11619,
"Dr. L, Riesling",Dr. Loosen,2019,10.5,750.0,99.0,Germany,Moselle,,White wine,Fresh & Fruity,"Served at 8-10 ° C with seafood dishes, preferably with Asian elements or as a companion drink.","Grape, very fresh taste with sweetness, hints of pear, green apples, lime and honey.",0.0%,50.0%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/dr-l-721801,https://product-cdn.systembolaget.se/productimages/216549/216549,Riesling
Solybiza Red Sangria Organic,Bodegas Sanviver,,7.0,330.0,29.0,Spain,,,Aperitif & Dessert,Flavored wines & fruit wines,"Served chilled as a social drink,","Spicy, pearly taste with sweetness, hints of blood orange, cinnamon, cloves, cardamom and raspberries.",0.0%,58.333333333333336%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/solybiza-red-sangria-organic-246615,https://sb-product-media-prod.azureedge.net/productimages/24439953/24439953,
"Julià & Navinès Cava Organic, Semi Seco",1 + 1 = 3 U Mes U Fan Tres SL,,11.5,750.0,89.0,Spain,Cava,,Sparkling wine,Semi-dry white,Served at 8-10 ° C as a companion drink.,"Semi-dry, fruity, youthful taste with hints of pear, honey, peach, yellow apples and citrus.",0.0%,41.6666666666666767%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/julià-&-navinès-cava-organic-761301,https://product-cdn.systembolaget.se/productimages/1058518/1058518,Parellada --- Macabeo --- Xarel-lo
"Moonlight Manor, Chenin Blanc Sauvignon Blanc",Overhex Wines International,2020,12.5,750.0,89.0,South Africa,Western Cape,,White wine,Fresh & Fruity,Served at 8-10 ° C with fish or seafood dishes.,"Fruity, aromatic, very fresh taste with hints of pear, blackcurrant leaves, passion fruit, honeydew melon, fresh herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/moonlight-manor-629301,https://product-cdn.systembolaget.se/productimages/24298447/24298447,
"Steak Wine, Malbec",Bodegas y Vñedos La Esperanza SA,2019,14.0,2250.0,169.0,Argentina,Cuyo,Mendoza,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb or beef.,"Fruity taste with hints of cask, blueberry, plum, violet, licorice, herbs and chocolate.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/steak-wine-270307,https://sb-product-media-prod.azureedge.net/productimages/24449904/24449904,Malbec
"Lambrusco Reggiano, Dolce",Donelli,,7.0,750.0,69.0,Italy,Emilia-Romagna,Reggiano,Red wine,Sweet,Served chilled as a social drink.,"Somewhat spirited wine with a youthful, berry taste with sweetness, hints of blueberries, cherries, almonds and herbs.",0.0%,58.333333333333336%,66.666666666666666%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/lambrusco-reggiano-2231001,https://product-cdn.systembolaget.se/productimages/12582/12582,
"Lindemans Bin 65, Chardonnay",Lindemans,2019,13.5,375.0,47.0,Australia,South Eastern Australia,,White wine,Full-bodied & Tasty,Served at about 8 ° C with fish dishes or light meat.,"Very fruity taste with hints of cask, yellow apples, pineapple, pear, citrus and vanilla.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/lindemans-bin-65-210602,https://product-cdn.systembolaget.se/productimages/1433/1433,Chardonnay
"Viña Maipo, Chardonnay",Viña Maipo SpA,2019,13.0,750.0,59.0,Chile,Valle Central,,White wine,Fresh & Fruity,"Served at about 8 ° C with fish dishes, or as a companion drink.","Youthful, fruity taste with hints of yellow apples, pineapple, honey and herbs.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/viña-maipo-667101,https://product-cdn.systembolaget.se/productimages/33580/33580,Chardonnay
"The White Smokers, White Sauvignon",François Lurton,2019,11.5,3000.0,259.0,France,,,White wine,Fresh & Fruity,"Served at 8-10 ° C for light seafood dishes, or sour goat cheeses.","Fruity, youthful, very fresh taste with hints of pear, blackcurrant leaves, gooseberries and lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/les-fumées-blanches-2213908,https://product-cdn.systembolaget.se/productimages/34105/34105,White Sauvignon
"McManis, Petite Sirah",McManis Family Vineyards,2019,13.5,750.0,115.0,USA,California,,Red wine,Fruity & Tasty,"Served at about 18 ° C with tasty, preferably grilled dishes of lamb or beef.","Generously fruity taste with a clear barrel character, hints of blackberries, plums, vanilla, coffee, raspberries, dark chocolate and spices.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/mcmanis-652001,https://product-cdn.systembolaget.se/productimages/390909/390909,Petite sirah
"Moët & Chandon, Brut Impérial",Moët & Chandon,,12.0,750.0,439.0,France,Champagne,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, very fresh taste with hints of light bread, yellow apples, minerals and blood orange.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/moët-&-chandon-751801,https://product-cdn.systembolaget.se/productimages/3977/3977,
Bristol Cream,Harvey & Son,,17.5,750.0,119.0,Spain,Andalusia,Jerez,Aperitif & Dessert,Sherry & Montilla,Served at about 14 ° C for desserts.,"Nuanced, very sweet taste with hints of dried apples, raisins, oranges, nuts and chocolate.",0.0%,83.33333333333334%,0.0%,75.0%,0.0%,https://www.systembolaget.se/produkt/vin/bristol-cream-822801,https://product-cdn.systembolaget.se/productimages/4190/4190,
"Canta Zaccagnini, Dal Tralcetto Montepulciano d'Abruzzo",Ciccio Zaccagnini,2018,12.5,750.0,115.0,Italy,Abruzzo,Montepulciano d'Abruzzo,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy taste with barrel character, hints of dark cherries, blackberries, cocoa, fresh herbs and vanilla.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/cantina-zaccagnini-302301,https://product-cdn.systembolaget.se/productimages/504515/504515,Montepulciano
"Charles de Fère, Blanc de Blancs Brut",Charles de Fère,,11.5,750.0,79.0,France,,,Sparkling wine,Dry white,Served at 6-8 ° C as an aperitif or with seafood dishes.,"Dry, fruity, very fresh taste with hints of green apples, biscuits and grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/charles-de-fère-742501,https://product-cdn.systembolaget.se/productimages/246080/246080,Chardonnay --- Ugni blanc --- Colombard
"Biecher, Riesling Reserve",Jean Biecher,2019,12.5,750.0,89.0,France,Alsace,,White wine,Fresh & Fruity,Served at about 8 ° C with seafood dishes.,"Youthful, fruity, very fresh taste with hints of green apples, pears, honey and lime.",0.0%,16.66666666666666464%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/biecher-219801,https://product-cdn.systembolaget.se/productimages/300827/300827,Riesling
Tommasi Graticcio Appassionato,Tommasi Viticoltori,2018,13.0,750.0,99.0,Italy,,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy taste with hints of cask, cherry, cinnamon, raspberry and cloves.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/tommasi-graticcio-appassionato-535401,https://product-cdn.systembolaget.se/productimages/584124/584124,Merlot --- Corvina veronese --- Rondinella
